id,code,name,parent_id:id,type,user_type:id,reconcile
lv_2012_account_7110,7110,Izejvielu un materiālu iepirkšanas un piegādes izdevumi,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7120,7120,Preču iepirkšanas un piegādes izdevumi,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7130,7130,Saņemtās atlaides,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7140,7140,Taras izdevumi,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7150,7150,Muitas un ievednodevas,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7160,7160,Pārējie ārējie izdevumi,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7170,7170,Samaksa par darbiem un pakalpojumiem no ārienes,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7180,7180,"Pārējie materiālie izdevumi (nodoklis par dabas resursu izmantošanu, celmu nauda u.c.)",lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7190,7190,Pirkto materiālu un preču krājumu un vērtības izmaiņas,lv_2012_account_7_1,other,account_type_2012_7,FALSE
lv_2012_account_7_2,72,Personāla izmaksas,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7210,7210,Strādnieku algas,lv_2012_account_7_2,other,account_type_2012_7,FALSE
lv_2012_account_7220,7220,Pārvaldes personāla un administratīvā personāla algas,lv_2012_account_7_2,other,account_type_2012_7,FALSE
lv_2012_account_7230,7230,Sociālās infrastruktūras iestāžu un pasākumu darbinieku algas,lv_2012_account_7_2,other,account_type_2012_7,FALSE
lv_2012_account_7240,7240,Pārējās personāla izmaksas,lv_2012_account_7_2,other,account_type_2012_7,FALSE
lv_2012_account_7_3,73,Sociālās nodevas un izmaksas,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7310,7310,Sociālais nodoklis,lv_2012_account_7_3,other,account_type_2012_7,FALSE
lv_2012_account_7320,7320,Pārējās sociālās izmaksas,lv_2012_account_7_3,other,account_type_2012_7,FALSE
lv_2012_account_7_4,74,Pamatlīdzekļu nolietojums un citu ieguldījumu vērtības norakstījumi,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7410,7410,Nemateriālo ieguldījumu vērtības norakstīšana,lv_2012_account_7_4,other,account_type_2012_7,FALSE
lv_2012_account_7420,7420,Pamatlīdzekļu nolietojums,lv_2012_account_7_4,other,account_type_2012_7,FALSE
lv_2012_account_7440,7440,Apgrozāmo līdzekļu vērtības norakstīšana,lv_2012_account_7_4,other,account_type_2012_7,FALSE
lv_2012_account_7_5,75,Pārējie saimnieciskās darbības izdevumi,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7510,7510,Dabas aizsardzības izdevumi,lv_2012_account_7_5,other,account_type_2012_7,FALSE
lv_2012_account_7530,7530,Nodevas par ražošanā izmantotiem zemes gabaliem,lv_2012_account_7_5,other,account_type_2012_7,FALSE
lv_2012_account_7540,7540,Apdrošināšanas maksājumi (izņemot darbinieku apdrošināšanu),lv_2012_account_7_5,other,account_type_2012_7,FALSE
lv_2012_account_7550,7550,Pārējie saimnieciskās darbības izdevumi,lv_2012_account_7_5,other,account_type_2012_7,FALSE
lv_2012_account_7560,7560,Strādnieku vervēšanas un apmācības izdevumi,lv_2012_account_7_5,other,account_type_2012_7,FALSE
lv_2012_account_7570,7570,Komandējumu izdevumi,lv_2012_account_7_5,other,account_type_2012_7,FALSE
lv_2012_account_7_6,76,Preču pārdošanas izdevumi,lv_2012_account_7,view,account.data_account_type_view,FALSE
