type,name,res_id,src,value
model,"ir.actions.act_window,name",180,stock.packing,stock.packing
model,"ir.actions.act_window,name",181,stock.packing,stock.packing
model,"ir.actions.act_window,name",182,stock.packing,stock.packing
model,"ir.actions.act_window,name",183,stock.packing,stock.packing
model,"ir.actions.act_window,name",184,stock.packing,stock.packing
model,"ir.actions.act_window,name",185,stock.packing,stock.packing
model,"ir.actions.act_window,name",186,stock.move,stock.move
model,"ir.actions.act_window,name",187,stock.shipping,stock.shipping
model,"ir.actions.act_window,name",188,stock.shipping,stock.shipping
model,"ir.actions.act_window,name",189,stock.shipping,stock.shipping
model,"ir.actions.act_window,name",190,stock.shipping,stock.shipping
model,"ir.actions.act_window,name",195,purchase.order.form,purchase.order.form
model,"ir.actions.act_window,name",197,sale.shop,sale.shop
model,"ir.actions.act_window,name",198,sale.order,sale.order
model,"ir.actions.act_window,name",199,sale.order,sale.order
model,"ir.actions.act_window,name",201,project.project,project.project
model,"ir.actions.act_window,name",202,project.project,project.project
model,"ir.actions.act_window,name",203,project.task,project.task
model,"ir.actions.act_window,name",204,project.task.unbilled.close,project.task.unbilled.close
model,"ir.actions.act_window,name",205,project.task.unbilled.open,project.task.unbilled.open
model,"ir.actions.act_window,name",206,project.task,project.task
model,"ir.actions.act_window,name",207,project.task,project.task
model,"ir.actions.act_window,name",208,project.task,project.task
model,"ir.actions.act_window,name",209,View project's tasks,项目任务视图
field,"ir.actions.act_window,view_type",0,Type of view,视图类型
field,"ir.actions.act_window,res_model",0,Model,模型
field,"ir.actions.act_window,view_id",0,View Ref.,视图参照
field,"ir.actions.act_window,type",0,Action Type,动作类型
field,"ir.actions.actions,type",0,Action Type,动作类型
field,"ir.actions.actions,name",0,Action Name,动作名称
field,"ir.actions.execute,func_name",0,Function Name,函数名称
field,"ir.actions.execute,func_arg",0,Function Argument,函数参数
field,"ir.actions.execute,type",0,type,类型
field,"ir.actions.execute,name",0,name,名称
field,"ir.actions.group,type",0,Action Type,动作类型
field,"ir.actions.group,name",0,Group Name,组名称
field,"ir.actions.group,exec_type",0,Execution sequence,执行次序
field,"ir.actions.report.custom,type",0,Report Type,报告类型
field,"ir.actions.report.custom,name",0,Report Name,报告名称
model,"ir.actions.report.custom,name",96,Account Chart Print,账号图表打印
field,"ir.actions.report.custom,report_id",0,Report Ref.,报告参照
field,"ir.actions.report.xml,report_xsl",0,XSL path,XSL文件路径
field,"ir.actions.report.xml,name",0,Name,名称
model,"ir.actions.report.xml,name",24,Labels,商标
model,"ir.actions.report.xml,name",25,Identifiants,证明
model,"ir.actions.report.xml,name",47,Print Materials,印刷材料
model,"ir.actions.report.xml,name",48,Print Network Materials,网络打印材料
model,"ir.actions.report.xml,name",49,Print Network List,网络打印列表
model,"ir.actions.report.xml,name",59,Timesheet by week,周工作时间表
model,"ir.actions.report.xml,name",60,Timesheet by month,月工作时间表
model,"ir.actions.report.xml,name",91,Journal,书报杂志
model,"ir.actions.report.xml,name",92,Invoices,发票
model,"ir.actions.report.xml,name",93,Invoice List,发票列表
model,"ir.actions.report.xml,name",94,Recalls,退货
model,"ir.actions.report.xml,name",95,Transfers,运输
model,"ir.actions.report.xml,name",114,Vignettes,Vignettes
model,"ir.actions.report.xml,name",115,Listing palais,Listing palais
model,"ir.actions.report.xml,name",129,Business Opportunities,商业机会
model,"ir.actions.report.xml,name",141,Artists Biography,艺术家传记
model,"ir.actions.report.xml,name",142,Bids,投标
model,"ir.actions.report.xml,name",143,Deposits,存款
model,"ir.actions.report.xml,name",144,Seller Labels,标价签
model,"ir.actions.report.xml,name",145,Invoices,发票
model,"ir.actions.report.xml,name",146,Lots List,Lots List
model,"ir.actions.report.xml,name",147,Lots List - Landscape,Lots List-Landscape
model,"ir.actions.report.xml,name",148,Lots List Inventory,Lots List Inventory
model,"ir.actions.report.xml,name",149,Buyer Form (with pictures),Buyer Form(with pictures)
model,"ir.actions.report.xml,name",150,Buyer Form,Buyer Form
model,"ir.actions.report.xml,name",151,Seller Form,Seller Form
model,"ir.actions.report.xml,name",152,Results,Results
model,"ir.actions.report.xml,name",153,Catalog,Catalog
model,"ir.actions.report.xml,name",154,Buyer List,Buyer List
model,"ir.actions.report.xml,name",155,Seller List,Seller List
model,"ir.actions.report.xml,name",156,Bids per lot (phone list),Bids per lot(phone list)
model,"ir.actions.report.xml,name",157,Bids per lot (phone),Bids per lot(phone)
model,"ir.actions.report.xml,name",158,Deposit Letters,Deposit Letters
model,"ir.actions.report.xml,name",159,Auction Totals,Auction Totals
model,"ir.actions.report.xml,name",160,Results with buyer,Results with buyer
model,"ir.actions.report.xml,name",161,Lots with VAT,Lots with VAT
model,"ir.actions.report.xml,name",191,Picking List,Picking List
model,"ir.actions.report.xml,name",192,Shipping List,Shipping List
model,"ir.actions.report.xml,name",193,Stock Overview,库存概要
