"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"l10n_mz_account_326","l10n_mz_account_group_32","True","Tools and utensils","326","asset_fixed","False",""
"l10n_mz_account_329","l10n_mz_account_group_32","True","Other tangible assets","329","asset_fixed","False",""
"l10n_mz_account_331","l10n_mz_account_group_33","True","Development costs","331","asset_non_current","False",""
"l10n_mz_account_332","l10n_mz_account_group_33","True","Intellectual property and other rights","332","asset_non_current","False",""
"l10n_mz_account_333","l10n_mz_account_group_33","True","Goodwill","333","asset_non_current","False",""
"l10n_mz_account_334","l10n_mz_account_group_33","True","Set-up or expansion costs","334","asset_non_current","False",""
"l10n_mz_account_342","l10n_mz_account_group_34","True","Tangible Assets under construction","342","asset_non_current","False",""
"l10n_mz_account_343","l10n_mz_account_group_34","True","Intangible Assets under construction","343","asset_non_current","False",""
"l10n_mz_account_36","l10n_mz_account_group_3","True","Investment property","36","asset_non_current","False",""
"l10n_mz_account_382","l10n_mz_account_group_38","True","Accumulated depreciation and amortisation - Tangible assets","382","asset_non_current","False",""
"l10n_mz_account_383","l10n_mz_account_group_38","True","Accumulated depreciation and amortisation - Intangible assets","383","asset_non_current","False",""
"l10n_mz_account_386","l10n_mz_account_group_38","True","Accumulated depreciation and amortisation - Investment property","386","asset_non_current","False",""
"l10n_mz_account_39","l10n_mz_account_group_3","True","Financial investments adjustments","39","asset_non_current","False",""
"l10n_mz_account_411","l10n_mz_account_group_41","True","Trade receivables - current account","411","asset_receivable","True",""
"l10n_mz_account_412","l10n_mz_account_group_41","True","Securities receivable","412","asset_receivable","True",""
"l10n_mz_account_413","l10n_mz_account_group_41","True","Point of sale receivable","413","asset_receivable","True",""
"l10n_mz_account_418","l10n_mz_account_group_41","True","Doubtful debts","418","asset_receivable","True",""
"l10n_mz_account_419","l10n_mz_account_group_41","True","Advances from clients","419","asset_current","False",""
"l10n_mz_account_421","l10n_mz_account_group_42","True","Trade payables – current account","421","liability_payable","True",""
"l10n_mz_account_422","l10n_mz_account_group_42","True","Securities payable","422","liability_payable","True",""
"l10n_mz_account_429","l10n_mz_account_group_42","True","Advances to suppliers","429","liability_current","False",""
"l10n_mz_account_4311","l10n_mz_account_group_431","True","Bank loans - Short term","4311","liability_current","False",""
"l10n_mz_account_4312","l10n_mz_account_group_431","True","Bank loans - Medium and long term","4312","liability_non_current","True",""
"l10n_mz_account_4411","l10n_mz_account_group_441","True","Income tax - Tax estimate","4411","liability_current","True",""
"l10n_mz_account_4412","l10n_mz_account_group_441","True","Income tax - Progress payments","4412","liability_current","False",""
"l10n_mz_account_4413","l10n_mz_account_group_441","True","Income tax - Special progress payments","4413","liability_current","False",""
"l10n_mz_account_4421","l10n_mz_account_group_442","True","Withholding tax - Income from employment","4421","liability_current","False",""
"l10n_mz_account_4422","l10n_mz_account_group_442","True","Withholding tax - Professional income","4422","liability_current","False",""
"l10n_mz_account_4423","l10n_mz_account_group_442","True","Withholding tax - Capital returns","4423","liability_current","False",""
"l10n_mz_account_4424","l10n_mz_account_group_442","True","Withholding tax - Property income","4424","liability_current","False",""
"l10n_mz_account_4425","l10n_mz_account_group_442","True","Withholding tax - Other income","4425","liability_current","False",""
"l10n_mz_account_44311","l10n_mz_account_group_4431","True","Input VAT - Inventories","44311","liability_current","False",""
"l10n_mz_account_44312","l10n_mz_account_group_4431","True","Input VAT - Tangible and intangible assets","44312","liability_current","False",""
"l10n_mz_account_44313","l10n_mz_account_group_4431","True","Input VAT - Other goods and services","44313","liability_current","False",""
"l10n_mz_account_44321","l10n_mz_account_group_4432","True","Deductible VAT - Inventories","44321","liability_current","False",""
"l10n_mz_account_44322","l10n_mz_account_group_4432","True","Deductible VAT - Tangible and intangible assets","44322","liability_current","False",""
"l10n_mz_account_44323","l10n_mz_account_group_4432","True","Deductible VAT - Other goods and services","44323","liability_current","False",""
"l10n_mz_account_44331","l10n_mz_account_group_4433","True","Assessed VAT - General transactions","44331","liability_current","False",""
"l10n_mz_account_44332","l10n_mz_account_group_4433","True","Assessed VAT - Self consumption and gifts","44332","liability_current","False",""
"l10n_mz_account_44333","l10n_mz_account_group_4433","True","Assessed VAT - Special transactions","44333","liability_current","False",""
"l10n_mz_account_44341","l10n_mz_account_group_4434","True","Monthly VAT adjustments in favour of taxable person","44341","asset_current","False",""
"l10n_mz_account_44342","l10n_mz_account_group_4434","True","Monthly VAT adjustments in favour of State","44342","liability_current","False",""
"l10n_mz_account_44343","l10n_mz_account_group_4434","True","Annual VAT adjustments by calculation of final pro rata","44343","liability_current","False",""
"l10n_mz_account_4435","l10n_mz_account_group_443","True","VAT assessment","4435","liability_current","False",""
"l10n_mz_account_4436","l10n_mz_account_group_443","True","VAT assessed by Tax Authorities","4436","liability_current","False",""
"l10n_mz_account_4437","l10n_mz_account_group_443","True","VAT payable","4437","liability_payable","True","True"
"l10n_mz_account_4438","l10n_mz_account_group_443","True","VAT recoverable","4438","asset_receivable","True","True"
"l10n_mz_account_4439","l10n_mz_account_group_443","True","VAT requested refunds","4439","liability_current","False",""
"l10n_mz_account_4441","l10n_mz_account_group_444","True","Stamp duty","4441","liability_current","False",""
"l10n_mz_account_4442","l10n_mz_account_group_444","True","MunicipaI taxes","4442","liability_current","False",""
"l10n_mz_account_445","l10n_mz_account_group_44","True","Tax adjustments, contributions and other levies","445","liability_current","False",""
"l10n_mz_account_449","l10n_mz_account_group_44","True","INSS contributions","449","liability_current","False",""
"l10n_mz_account_4511","l10n_mz_account_group_451","True","Advances to corporate bodies","4511","asset_receivable","True",""
"l10n_mz_account_4512","l10n_mz_account_group_451","True","Advances to employees","4512","asset_receivable","True",""
"l10n_mz_account_4518","l10n_mz_account_group_451","True","Other receivable transactions with corporate bodies","4518","asset_receivable","True",""
"l10n_mz_account_4519","l10n_mz_account_group_451","True","Other receivable transactions with employees","4519","asset_receivable","True",""
"l10n_mz_account_4521","l10n_mz_account_group_452","True","State and other public entities","4521","asset_receivable","True",""
"l10n_mz_account_4522","l10n_mz_account_group_452","True","Private entities","4522","asset_receivable","True",""
"l10n_mz_account_4529","l10n_mz_account_group_452","True","Other entities","4529","asset_receivable","True",""
"l10n_mz_account_4541","l10n_mz_account_group_454","True","Loans receivable","4541","asset_receivable","True",""
"l10n_mz_account_4542","l10n_mz_account_group_454","True","Advances on profits","4542","asset_receivable","True",""
"l10n_mz_account_4543","l10n_mz_account_group_454","True","Distributed profits and losses","4543","asset_receivable","True",""
"l10n_mz_account_4544","l10n_mz_account_group_454","True","Available profits","4544","asset_receivable","True",""
"l10n_mz_account_4549","l10n_mz_account_group_454","True","Other receivable transactions","4549","asset_receivable","True",""
"l10n_mz_account_4551","l10n_mz_account_group_455","True","Grants receivable - State and other public entities","4551","asset_receivable","True",""
"l10n_mz_account_4552","l10n_mz_account_group_455","True","Grants receivable - Private entities","4552","asset_receivable","True",""
"l10n_mz_account_459","l10n_mz_account_group_45","True","Other debtors","459","asset_receivable","True",""
"l10n_mz_account_4611","l10n_mz_account_group_461","True","Capital expenditure creditors – Current account","4611","liability_payable","True",""
"l10n_mz_account_4612","l10n_mz_account_group_461","True","Capital expenditure creditors - Payable securities","4612","liability_payable","True",""
"l10n_mz_account_4613","l10n_mz_account_group_461","True","Capital expenditure creditors - Advances","4613","liability_payable","True",""
"l10n_mz_account_4614","l10n_mz_account_group_461","True","Capital expenditure creditors - Finance lease","4614","liability_payable","True",""
"l10n_mz_account_4619","l10n_mz_account_group_461","True","Capital expenditure creditors - Other","4619","liability_payable","True",""
"l10n_mz_account_4621","l10n_mz_account_group_462","True","Remuneration payable to corporate bodies","4621","liability_payable","True",""
"l10n_mz_account_4622","l10n_mz_account_group_462","True","Remuneration payable to employees","4622","liability_payable","True",""
"l10n_mz_account_4628","l10n_mz_account_group_462","True","Other transactions with corporate bodies","4628","liability_payable","True",""
"l10n_mz_account_4629","l10n_mz_account_group_462","True","Other transactions with employees","4629","liability_payable","True",""
"l10n_mz_account_463","l10n_mz_account_group_46","True","Trade unions","463","liability_payable","True",""
"l10n_mz_account_466","l10n_mz_account_group_46","True","Consultants, advisors and intermediaries","466","liability_payable","True",""
