"id","name","code","account_type","active","reconcile","non_trade","parent_id","description","name@ar_001","depreciation_model_id","description@ar"
"uae_account_411300","Visa Expenses","411300","expense","True","False","","uae_account_410000","Expenses for employee visa processing and renewals.","تكاليف إصدار الإضافة","","نفقات معالجة وتجديد تأشيرات الموظفين."
"uae_account_411400","Sponsorship Fees","411400","expense","True","False","","uae_account_410000","Fees paid for sponsorships or promotional partnerships.","رسوم الرعاية","","الرسوم المدفوعة مقابل الرعاية أو الشراكات الترويجية."
"uae_account_411500","Uniform","411500","expense","True","False","","uae_account_410000","Expenses for employee uniforms and related apparel.","الزي الرسمي ","","نفقات زي الموظفين والملابس ذات الصلة."
"uae_account_411600","Staff Development & Training","411600","expense","True","False","","uae_account_410000","Expenses for employee training, development programs, and professional courses.","","",""
"uae_account_411700","Personnel Cost Others","411700","expense","True","False","","uae_account_410000","Company's personel costs excluding compensations, contributions and vouchers","تكاليف الموظفين أخرى","",""
"uae_account_411900","End Of Service Indemnity","411900","expense","True","False","","uae_account_410000","Expenses for end-of-service benefits and gratuity obligations.","تعويض نهاية الخدمة","","نفقات استحقاقات نهاية الخدمة والالتزامات المتعلقة بالمكافآت."
"uae_account_420000","Administrative costs","420000","expense","False","False","","","","","",""
"uae_account_420100","Office Rent","420100","expense","True","False","","uae_account_420000","Rental fees related to your workplace","إيجار المكتب","","رسوم الإيجار المتعلقة بمكان عملك"
"uae_account_420200","Office supplies","420200","expense","True","False","","uae_account_420000","Various supplies bought for your workplace or office, like pencils, paper etc","مستلزمات المكتب","","اللوازم المتنوعة التي تم شراؤها لمكان عملك أو مكتبك، مثل أقلام الرصاص والورق وما إلى ذلك"
"uae_account_420300","Office services","420300","expense","True","False","","uae_account_420000","All expenses made for your office or workplace that are not material goods","الخدمات المكتبية","","جميع النفقات التي تم إنفاقها على مكتبك أو مكان عملك والتي ليست سلعًا مادية"
"uae_account_420400","Customs","420400","expense","True","False","","uae_account_420000","Customs fees incurred while importing goods from outside of the European Union","الجمارك","","الرسوم الجمركية المستحقة عند استيراد البضائع من خارج الاتحاد الأوروبي"
"uae_account_420500","Warehouse Rent","420500","expense","True","False","","uae_account_420000","Expenses for rental of warehouse facilities.","إيجار المستودع","","نفقات استئجار مرافق المستودعات."
"uae_account_420600","Water & Electricity","420600","expense","True","False","","uae_account_420000","Bills from your water and energy suppliers","الماء والكهرباء","","الفواتير من موردي المياه والطاقة لديك"
"uae_account_420700","Other Utility Charges","420700","expense","True","False","","uae_account_420000","Expenses for utilities not classified elsewhere.","رسوم المرافق الأخرى","","نفقات المرافق العامة غير المصنفة في مكان آخر."
"uae_account_420800","Telephone","420800","expense","True","False","","uae_account_420000","Internet or phone bills incurred ","الهاتف","","فواتير الإنترنت أو الهاتف المستحقة"
"uae_account_420900","Others - Communication","420900","expense","True","False","","uae_account_420000","Expenses for communication services not classified elsewhere.","غير ذلك - خدمات التواصل","","نفقات خدمات الاتصالات غير المصنفة في مكان آخر."
"uae_account_421000","Web Site Hosting Fees","421000","expense","True","False","","uae_account_420000","Expenses for hosting and maintaining company websites.","رسوم استضافة الموقع الإلكتروني","","نفقات استضافة وصيانة المواقع الإلكترونية للشركة."
"uae_account_421100","Maintenance","421100","expense","True","False","","uae_account_420000","Expenses for maintenance and repair of property and equipment.","الصيانة","","نفقات صيانة وإصلاح الممتلكات والمعدات."
"uae_account_421200","Security & Guard","421200","expense","True","False","","uae_account_420000","Expenses for security and guard services.","الأمن والحراسة","","نفقات خدمات الأمن والحراسة."
