"id","code","name","reconcile","user_type_id/id","chart_template_id/id"
"l10n_cn_2221006","2221006","应交土地所得税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221007","2221007","应交城市维护建设税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221008","2221008","应交房产税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221009","2221009","应交土地使用税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221010","2221010","应交车船使用税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221011","2221011","应交个人所得税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221012","2221012","教育费附加","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221013","2221013","印花税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221014","2221014","水利建设基金","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221015","2221015","地方教育费附加","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2231","2231","应付利息","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2232","2232","应付利润","True","account.data_account_type_current_liabilities","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2241","2241","其他应付款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2401","2401","递延收益","False","account.data_account_type_current_liabilities","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2501","2501","长期借款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2701","2701","长期应付款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3001","3001","实收资本","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3002","3002","资本公积","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3002001","3002001","资本（或股本）溢价","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3002002","3002002","接受捐赠非现金资产准备","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3002003","3002003","接受现金捐赠","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3002004","3002004","股权投资准备","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_3002005","3002005","拨款转入","False","account.data_account_type_equity","l10n_cn_small_business.l10n_chart_china_small_business"
